"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Keaton Mitchell","LAC","RB60","95.6","432.8","2.2","15.5","114.5","0.4","0.7","84.4"
"Jalen Tolbert","MIA","WR93","0.0","0.0","0.0","33.2","411.1","1.7","0.3","83.6"
"Malik Benson","LV","WR94","1.0","4.0","0.0","33.2","397.7","1.9","0.6","83.6"
"Emari Demercado","KC","RB61","76.8","427.5","1.7","16.4","119.8","0.8","1.7","82.8"
"Ted Hurst III","TB","WR95","1.0","6.5","0.0","28.9","389.9","2.6","0.6","82.7"
"Tank Bigsby","PHI","RB62","104.6","510.9","4.2","3.8","31.8","0.1","0.7","82.2"
"Xavier Hutchinson","HOU","WR96","2.1","14.2","0.0","30.9","369.4","2.1","0.1","81.6"
"DeMario Douglas","NE","WR97","4.1","21.4","0.2","30.2","365.3","2.0","0.4","81.2"
"Hollywood Brown","PHI","WR98","0.0","0.0","0.0","28.2","349.9","3.0","0.1","81.1"
"Zachariah Branch","ATL","WR99","0.0","0.0","0.0","31.4","381.7","1.9","0.3","80.3"
"Andrei Iosivas","CIN","WR100","2.5","11.0","0.0","27.8","352.4","2.6","0.1","79.5"
"Elic Ayomanor","TEN","WR101","0.0","0.0","0.0","25.4","342.8","3.3","0.0","79.5"
"Dawson Knox","BUF","TE37","0.0","0.0","0.0","28.6","331.7","2.9","0.1","79.2"
"Chimere Dike","TEN","WR102","10.1","33.7","0.3","27.8","271.6","3.4","0.6","79.2"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","27.8","313.7","2.9","0.1","76.2"
"Jordan James","SF","RB63","80.7","322.6","2.5","14.0","131.6","0.6","1.1","75.8"
"Keon Coleman","BUF","WR103","0.0","0.0","0.0","24.4","337.7","2.8","0.2","74.6"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","329.1","2.0","0.6","74.1"
"Najee Harris","NYG","RB64","93.4","390.8","2.6","10.6","75.6","0.2","0.2","73.9"
"Pat Bryant","DEN","WR104","0.0","0.0","0.0","28.4","320.5","2.1","0.3","72.6"
"Darnell Mooney","NYG","WR105","2.2","11.9","0.1","24.1","349.3","1.9","0.2","71.5"
"Joshua Palmer","BUF","WR106","0.0","0.0","0.0","25.9","342.2","1.6","0.1","69.7"
"Tyler Higbee","LAR","TE40","0.0","0.0","0.0","25.1","296.5","2.4","0.0","69.2"
"Erick All Jr.","CIN","TE41","0.0","0.0","0.0","30.5","268.1","1.9","0.1","68.7"
"Malachi Fields","NYG","WR107","0.0","0.0","0.0","26.3","321.3","1.8","0.3","68.4"
"Adam Randall","BAL","RB65","55.1","281.7","2.0","10.8","108.9","1.1","0.6","67.1"
"Cole Kmet","CHI","TE42","0.0","0.0","0.0","26.2","274.1","2.2","0.1","66.8"
"Marvin Mims Jr.","DEN","WR108","8.2","45.2","0.3","24.1","273.1","1.6","0.4","66.8"
"Jack Bech","LV","WR109","0.0","0.0","0.0","27.7","315.0","1.2","0.3","65.8"
"Zavion Thomas","CHI","WR110","1.5","6.5","0.0","23.2","304.8","2.1","1.1","64.9"
"Ashton Dulin","IND","WR111","5.1","46.1","0.1","17.5","338.3","1.3","0.1","64.1"
"KaVontae Turpin","DAL","WR112","17.8","103.2","0.4","18.1","229.5","1.7","0.4","63.5"
"Chris Brooks","GB","RB66","72.7","324.6","1.3","13.4","93.3","0.2","0.6","63.2"
"Noah Fant","NO","TE43","0.0","0.0","0.0","29.3","274.4","1.6","1.6","63.2"
"James Conner","ARI","RB67","42.5","153.5","1.5","18.0","138.0","1.0","0.0","62.2"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.6","250.7","1.9","0.6","61.8"
"Malik Davis","DAL","RB68","73.6","344.8","2.5","6.6","52.3","0.1","0.6","60.6"
"Savion Williams","GB","WR113","9.0","46.9","0.3","20.5","230.8","1.7","0.3","59.8"
"Kimani Vidal","LAC","RB69","60.2","234.2","1.6","11.9","104.0","0.7","0.1","59.0"
"Elijah Arroyo","SEA","TE45","0.0","0.0","0.0","23.6","240.1","1.9","0.2","58.4"
"Jahdae Walker","CHI","WR114","0.5","3.5","0.0","17.6","232.8","2.7","0.0","57.2"
"Mack Hollins","NE","WR115","0.0","0.0","0.0","21.5","257.6","1.6","0.2","56.5"
"Charlie Kolar","LAC","TE46","0.0","0.0","0.0","20.2","230.3","2.0","0.1","55.4"
"Tutu Atwell","LAR","WR116","2.2","11.4","0.1","21.1","301.4","0.5","0.2","55.2"
"Kyle Juszczyk","SF","RB70","4.2","10.3","0.1","23.7","207.8","1.5","0.1","54.7"
"Jaydon Blue","DAL","RB71","62.4","263.0","2.0","8.7","61.7","0.4","0.3","54.7"
"Brock Wright","DET","TE47","0.0","0.0","0.0","20.9","187.6","2.3","0.0","53.4"
"Demarcus Robinson","SF","WR117","0.5","2.5","0.0","17.6","251.5","1.7","0.0","52.9"
"Cyrus Allen","KC","WR118","0.0","0.0","0.0","19.4","245.8","1.6","0.2","52.9"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","194.3","2.4","0.1","52.1"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","222.3","1.8","0.0","52.0"
"Austin Hooper","ATL","TE50","0.0","0.0","0.0","21.9","225.4","1.3","0.1","51.9"
"Tommy Tremble","CAR","TE51","0.0","0.0","0.0","21.1","197.8","1.8","0.1","51.4"
"Emanuel Wilson","SEA","RB72","70.2","290.5","1.7","7.7","52.1","0.0","0.5","51.3"
"Noah Gray","KC","TE52","0.0","0.0","0.0","21.1","212.0","1.5","0.1","51.0"
"Jaylen Wright","MIA","RB73","79.9","308.9","1.5","7.2","52.5","0.1","1.2","50.7"
"Kyle Williams","NE","WR119","4.1","22.4","0.2","16.0","232.3","1.4","0.2","50.6"
"Kendrick Bourne","ARI","WR120","0.0","0.0","0.0","22.8","239.2","0.7","0.2","50.2"
"Jawhar Jordan","HOU","RB74","51.3","218.0","1.1","11.0","86.0","0.5","0.5","50.1"
"Luke McCaffrey","WAS","WR121","0.0","0.0","0.0","14.4","221.1","2.3","0.0","49.9"
"Eli Stowers","PHI","TE53","0.0","0.0","0.0","20.9","214.5","1.4","0.6","49.6"
"Jonah Coleman","DEN","RB75","48.8","203.2","1.6","10.2","74.8","0.4","0.2","49.4"
"Adam Trautman","DEN","TE54","0.0","0.0","0.0","19.3","197.2","1.5","0.0","47.9"
"Theo Wease Jr.","MIA","WR189","0.0","0.0","0.0","16.0","233.0","1.3","0.0","47.1"
"Dyami Brown","WAS","WR122","0.0","0.0","0.0","15.9","216.9","1.6","0.2","46.7"
"Eli Raridon","NE","TE55","0.0","0.0","0.0","18.8","195.4","1.6","0.6","46.5"
"Kalif Raymond","CHI","WR123","4.6","27.2","0.2","19.2","186.9","0.9","0.2","46.4"
"Emmett Johnson","KC","RB76","49.5","206.3","1.6","8.4","59.5","0.4","0.2","46.4"
"Ja'Tavion Sanders","CAR","TE56","0.0","0.0","0.0","22.3","178.1","1.0","0.1","46.2"
"Elijah Higgins","ARI","TE57","0.0","0.0","0.0","22.0","201.5","0.8","0.6","46.0"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","19.5","184.6","1.2","0.0","44.9"
"Treylon Burks","WAS","WR124","0.0","0.0","0.0","15.0","217.8","1.4","0.1","44.7"
"Marlin Klein","HOU","TE59","0.0","0.0","0.0","19.5","192.5","1.1","0.5","44.4"
"Luke Musgrave","GB","TE60","0.0","0.0","0.0","18.8","183.8","1.1","0.0","43.9"
"LeQuint Allen Jr.","JAC","RB77","32.0","126.0","0.6","15.3","99.1","0.4","0.1","43.8"
"Devontez Walker","BAL","WR125","0.0","0.0","0.0","14.5","208.8","1.5","0.2","43.8"
